S0,sigma,T,price,s.e,time elapsed
36,0.2,1.0,4.509401913169748,0.02910540109586787,1.5982012748718262
36,0.2,2.0,4.850805495060527,0.03460647801587633,1.6394109725952148
36,0.4,1.0,7.061333579459677,0.058361034208033236,1.6556131839752197
36,0.4,2.0,8.489382130908877,0.070572905828027,1.6283419132232666
38,0.2,1.0,3.2558800221149213,0.029673821282773263,1.6685047149658203
38,0.2,2.0,3.72682377287277,0.033786095884064,1.6495251655578613
38,0.4,1.0,6.108923231925619,0.05852773975002234,1.6396536827087402
38,0.4,2.0,7.6087930811878675,0.06905263338878426,1.6631865501403809
40,0.2,1.0,2.3014682905998662,0.026758465318425507,1.6644525527954102
40,0.2,2.0,2.8601301434886586,0.032688462489351894,1.665522575378418
40,0.4,1.0,5.293099843058208,0.05635986478912953,1.666309118270874
40,0.4,2.0,6.870011755495279,0.0690955106168123,1.6676526069641113
42,0.2,1.0,1.5884637782942022,0.02295564396033922,1.6332015991210938
42,0.2,2.0,2.1824956867102316,0.02946801666461922,1.8649141788482666
42,0.4,1.0,4.543627823174164,0.05253532050644463,1.7224500179290771
42,0.4,2.0,6.19066798996809,0.0667619562291073,1.656611442565918
44,0.2,1.0,1.0915558059922508,0.020133278709104512,1.652951955795288
44,0.2,2.0,1.664645458267303,0.026538737775542637,1.666358470916748
44,0.4,1.0,3.9240766261185884,0.05064917593883301,1.6342499256134033
44,0.4,2.0,5.586074858508025,0.06382588884099138,1.7142550945281982
